"id","학년","이수구분","학수번호_수업번호","교과목명","교강사","학점","시간","강의실","강의평","요일","시작교시","종료교시"
1,"미정","전공선택","FUT2014-15288-","데이터시각화","계승철",3,"목(13:00-16:00)","","없음","목",5,8
2,"미정","전공선택","FUT3001-15290-","아트테크놀로지캡스톤디자인","정은기",3,"목(16:00-19:00)","","없음","목",8,10
3,"미정","전공선택","FUT3002-15291-","인문학으로예술읽기","천미림",3,"수(13:00-14:30),수(14:30-15:00)","","없음","수",6,7
4,"미정","전공선택","FUT3003-15292-","마음을사로잡는정보스토리텔링","김은정",3,"화(13:00-15:00),화(15:00-16:00)","","없음","화",7,8
5,"미정","전공선택","FUT3005-15294-","엔지니어를위한실용영작문","임동진",3,"목(09:00-10:30),목(10:30-12:00)","","없음","목",2,4
6,"미정","전공선택","FUT3008-15297-","인류세시대를위한미래인문학","김성희",3,"수(16:00-17:30),수(17:30-19:00)","","없음","수",9,10
7,"미정","전공선택","FUT4002-15304-","공학영어캡스톤디자인","임동진",3,"월(09:00-10:30),월(10:30-12:00)","","없음","월",2,4
8,"미정","전공선택","AIX0002-15002-","AI+X:인공지능","류호경",3,"목(09:00-11:00)","","없음","목",1,3
9,"미정","전공선택","AIX0003-15003-","AI+X:딥러닝","원영준",3,"화(13:00-15:00)","","없음","화",5,7
10,"미정","전공선택","FUT4003-15305-","한국테크노사이언스혁신의역사","박민아",3,"화(16:00-17:30),화(17:30-19:00)","","없음","화",9,10
11,"미정","전공선택","GEN1040-15310-","초급독일어","김수민",3,"금(13:00-14:30),금(14:30-16:00)","","없음","금",6,8
12,"미정","전공선택","GEN1043-15311-","중급중국어","유우",2,"금(13:00-15:00)","","없음","금",5,7
13,"미정","전공선택","GEN1076-15312-","여성학","허수연",3,"수(13:00-14:30),수(14:30-16:00)","","없음","수",6,8
14,"미정","전공선택","GEN1078-15313-","문화론특강","강경란",2,"목(11:00-13:00)","","없음","목",3,5
15,"미정","전공선택","GEN2079-15319-","영화의이해","김윤지",2,"화(15:00-17:00)","","없음","화",7,9
16,"미정","전공선택","GEN3041-15327-","초급중국어1","유우",3,"금(11:00-13:00)","","없음","금",3,5
17,"미정","전공선택","GEN3096-15329-","Modern Stress and You","Nathan John Lucas",2,"화(13:00-15:00)","","없음","화",5,7
18,"미정","전공선택","GEN3097-15330-","디자인으로 세상읽기","현은령",3,"화(11:00-13:00)","","없음","화",3,5
19,"미정","전공선택","GEN4002-15331-","조직리더십사례연구(군사학)","양황석",2,"시간미지정강좌","","없음",,,
20,"미정","전공선택","GEN4079-15336-","사회봉사","",1,"","","없음",,,
21,"미정","전공선택","GEN4091-15337-","과학기술의철학적이해","이채리",3,"화(09:00-10:30)","","없음","화",1,2
22,"미정","전공선택","GEN5014-15338-","기초스페인어","정동희",3,"금(13:00-14:30)","","없음","금",5,6
23,"미정","전공선택","CLS1022-15033-","과학클래식:생명과문명의융합적세계관을향하여","정혜경",3,"수(13:00-14:30),수(14:30-16:00)","","없음","수",6,8
24,"미정","전공선택","CLS1023-15034-","인문클래식:문학으로읽는음식과인간","김지선",3,"화(16:00-18:00),화(18:00-19:00)","","없음","화",10,10
25,"미정","전공선택","CLS1024-15035-","사회클래식:상상의낙원유토피아","서신혜",3,"수(13:00-15:00)","","없음","수",5,7
26,"미정","전공선택","CLS1025-15036-","예술클래식:도시와문학","우미영",3,"목(15:00-17:00)","","없음","목",7,9
27,"미정","전공선택","CUL0072-15042-","독일문학과영화","박현용",2,"목(11:00-13:00)","","없음","목",3,5
28,"미정","전공선택","GEN7030-15366-","영어와남녀의사소통의차이","Mimi Eun Newton",2,"화(15:00-17:00)","","없음","화",7,9
29,"미정","전공선택","KLE2009-15623-","문학의이해","정원정",2,"화(11:00-13:00)","","없음","화",3,5
30,"미정","전공선택","KOR4056-15624-","소설과영화","신성환",2,"목(15:00-17:00)","","없음","목",7,9
31,"미정","전공선택","PER2060-15629-","현대테크노사이언스의윤리적도전","오경준",3,"금(09:00-10:30),금(10:30-12:00)","","없음","금",2,4
32,"미정","전공선택","PER2061-15630-","스마트시대의문자,구술,영상","전지은",3,"수(09:00-11:00),수(11:00-12:00)","","없음","수",3,4
33,"미정","전공선택","PER2063-15631-","신화와원형의스토리텔링","신성환",3,"월(16:00-18:00),월(18:00-19:00)","","없음","월",10,10
34,"미정","전공선택","CUL0104-15047-","자유란무엇인가","박찬운",3,"월(15:00-16:30),월(16:30-18:00)","","없음","월",8,10
35,"미정","전공선택","CUL0111-15048-","통일함께만들기","홍용표",3,"화(10:00-11:30),화(11:30-13:00)","","없음","화",3,5
36,"미정","전공선택","CUL0128-15055-","4차산업혁명의이해","조병완",3,"목(16:00-17:30),목(17:30-19:00)","","없음","목",9,10
37,"미정","전공선택","CUL0130-15056-","디지털저널리즘","Tammy Ko Robinson",2,"수(09:00-11:00)","","없음","수",1,3
38,"미정","전공선택","CUL0138-15057-","다양성시대의한국어교육","채윤미",3,"화(13:00-14:30),화(14:30-16:00)","","없음","화",6,8
39,"미정","전공선택","GEN7033-15367-","비전공자를위한재무금융","이창훈",3,"수(16:00-17:30),수(17:30-19:00)","","없음","수",9,10
40,"미정","전공선택","GEN7034-15368-","초급독일어회화","Wirsching Cornelia Song",2,"수(11:00-13:00)","","없음","수",3,5
41,"미정","전공선택","GEN7041-15371-","창의적글쓰기","Shelley L. Collins",2,"목(11:00-13:00)","","없음","목",3,5
42,"미정","전공선택","PER3045-15635-","현대사회의갈등관리와인문학","신성환",3,"목(12:00-13:30),목(13:30-15:00)","","없음","목",5,7
43,"미정","전공선택","SBC0002-15638-","반도체8대공정개론","김성혁",3,"화(16:00-18:00),시간미지정강좌","","없음",,,
44,"미정","전공선택","SBC0003-15639-","반도체공정과장비의이해","방승호",3,"월(11:00-13:00),시간미지정강좌","","없음",,,
45,"미정","전공선택","SBC0004-15640-","반도체공정응용","박현정",3,"목(15:00-17:00),목(17:00-19:00)","","없음","목",9,10
46,"미정","전공선택","SBC0005-15641-","플라즈마장비","김주호",3,"화(15:00-17:00),화(17:00-19:00)","","없음","화",9,10
47,"미정","전공선택","SBC0006-15642-","반도체응용기술","박현정",3,"화(11:00-13:00),시간미지정강좌","","없음",,,
48,"미정","전공선택","SBC0007-15643-","반도체집적화기술","방승호",3,"화(18:00-20:00),시간미지정강좌","","없음",,,
49,"미정","전공선택","SYB1127-15647-","정보사회학입문","",3,"","","없음",,,
50,"미정","전공선택","SYB1128-15648-","저작권과스마트폰의이해","",2,"","","없음",,,
51,"미정","전공선택","SYB1149-15652-","프레젠테이션기법","",2,"","","없음",,,
52,"미정","전공선택","CUL1079-15069-","불멸의철학자들","오애향",2,"금(15:00-17:00)","","없음","금",7,9
