course_code,course_name,course_name_eng,professor_name,major_division,classification,grade,major_level,major_department,offering_department,day,start_time,end_time,location,credit,,
ACC2056,회계학,Accounting,이윤기,전공기초(필수),영역없음,1,100,정보시스템학과,정보시스템학과,월,9:00:00,10:00:00,서울 IT.BT관 202강의실,3,,
ACC2056,회계학,Accounting,이윤기,전공기초(필수),영역없음,1,100,정보시스템학과,정보시스템학과,월,10:00:00,12:00:00,서울 IT.BT관 202강의실,3,,
ACC3003,관리회계,Managerial Accounting,박지혜,전공심화,영역없음,2,200,경영학부,경영학부,금,9:00:00,10:00:00,서울 경영관 B104강의실,3,,
ACC3003,관리회계,Managerial Accounting,박지혜,전공심화,영역없음,2,200,경영학부,경영학부,금,9:00:00,10:00:00,서울 경영관 B104강의실,3,,
ACC3003,관리회계,Managerial Accounting,박지혜,전공심화,영역없음,2,200,경영학부,경영학부,금,9:00:00,10:00:00,서울 경영관 B104강의실,3,,
ACC3003,관리회계,Managerial Accounting,박지혜,전공심화,영역없음,2,200,경영학부,경영학부,금,9:00:00,10:00:00,서울 경영관 B104강의실,3,,
ACC3003,관리회계,Managerial Accounting,박지혜,전공심화,영역없음,2,200,경영학부,경영학부,금,9:00:00,10:00:00,서울 경영관 B104강의실,3,,
ACC3003,관리회계,Managerial Accounting,박지혜,전공심화,영역없음,2,200,경영학부,경영학부,금,10:00:00,12:00:00,서울 경영관 B104강의실,3,,
ACC3003,관리회계,Managerial Accounting,박지혜,전공심화,영역없음,2,200,경영학부,경영학부,금,10:00:00,12:00:00,서울 경영관 B104강의실,3,,
ACC3003,관리회계,Managerial Accounting,박지혜,전공심화,영역없음,2,200,경영학부,경영학부,금,10:00:00,12:00:00,서울 경영관 B104강의실,3,,
ACC3003,관리회계,Managerial Accounting,박지혜,전공심화,영역없음,2,200,경영학부,경영학부,금,10:00:00,12:00:00,서울 경영관 B104강의실,3,,
ACC3003,관리회계,Managerial Accounting,박지혜,전공심화,영역없음,2,200,경영학부,경영학부,금,10:00:00,12:00:00,서울 경영관 B104강의실,3,,
ACC3003,관리회계,Managerial Accounting,박지혜,전공심화,영역없음,2,200,경영학부,경영학부,금,16:00:00,17:00:00,서울 경영관 B104강의실,3,,
ACC3003,관리회계,Managerial Accounting,박지혜,전공심화,영역없음,2,200,경영학부,경영학부,금,16:00:00,17:00:00,서울 경영관 B104강의실,3,,
ACC3003,관리회계,Managerial Accounting,박지혜,전공심화,영역없음,2,200,경영학부,경영학부,금,16:00:00,17:00:00,서울 경영관 B104강의실,3,,
ACC3003,관리회계,Managerial Accounting,박지혜,전공심화,영역없음,2,200,경영학부,경영학부,금,16:00:00,17:00:00,서울 경영관 B104강의실,3,,
ACC3003,관리회계,Managerial Accounting,박지혜,전공심화,영역없음,2,200,경영학부,경영학부,금,16:00:00,17:00:00,서울 경영관 B104강의실,3,,
ACC3003,관리회계,Managerial Accounting,박지혜,전공심화,영역없음,2,200,경영학부,경영학부,금,17:00:00,19:00:00,서울 경영관 B104강의실,3,,
ACC3003,관리회계,Managerial Accounting,박지혜,전공심화,영역없음,2,200,경영학부,경영학부,금,17:00:00,19:00:00,서울 경영관 B104강의실,3,,
ACC3003,관리회계,Managerial Accounting,박지혜,전공심화,영역없음,2,200,경영학부,경영학부,금,17:00:00,19:00:00,서울 경영관 B104강의실,3,,
ACC3003,관리회계,Managerial Accounting,박지혜,전공심화,영역없음,2,200,경영학부,경영학부,금,17:00:00,19:00:00,서울 경영관 B104강의실,3,,
ACC3003,관리회계,Managerial Accounting,박지혜,전공심화,영역없음,2,200,경영학부,경영학부,금,17:00:00,19:00:00,서울 경영관 B104강의실,3,,
ACC4001,고급회계,ADVANCED FINANCIAL ACCOUNTING,서계원,전공심화,영역없음,3,300,경영학부,경영학부,월,16:00:00,17:00:00,서울 경영관 B109강의실,3,,
ACC4001,고급회계,ADVANCED FINANCIAL ACCOUNTING,서계원,전공심화,영역없음,3,300,경영학부,경영학부,월,16:00:00,17:00:00,서울 경영관 B109강의실,3,,
ACC4001,고급회계,ADVANCED FINANCIAL ACCOUNTING,서계원,전공심화,영역없음,3,300,경영학부,경영학부,월,16:00:00,17:00:00,서울 경영관 B109강의실,3,,
ACC4001,고급회계,ADVANCED FINANCIAL ACCOUNTING,서계원,전공심화,영역없음,3,300,경영학부,경영학부,월,16:00:00,17:00:00,서울 경영관 B109강의실,3,,
ACC4001,고급회계,ADVANCED FINANCIAL ACCOUNTING,서계원,전공심화,영역없음,3,300,경영학부,경영학부,월,16:00:00,17:00:00,서울 경영관 B109강의실,3,,
ACC4001,고급회계,ADVANCED FINANCIAL ACCOUNTING,서계원,전공심화,영역없음,3,300,경영학부,경영학부,월,17:00:00,19:00:00,서울 경영관 B109강의실,3,,
ACC4001,고급회계,ADVANCED FINANCIAL ACCOUNTING,서계원,전공심화,영역없음,3,300,경영학부,경영학부,월,17:00:00,19:00:00,서울 경영관 B109강의실,3,,
ACC4001,고급회계,ADVANCED FINANCIAL ACCOUNTING,서계원,전공심화,영역없음,3,300,경영학부,경영학부,월,17:00:00,19:00:00,서울 경영관 B109강의실,3,,
ACC4001,고급회계,ADVANCED FINANCIAL ACCOUNTING,서계원,전공심화,영역없음,3,300,경영학부,경영학부,월,17:00:00,19:00:00,서울 경영관 B109강의실,3,,
ACC4001,고급회계,ADVANCED FINANCIAL ACCOUNTING,서계원,전공심화,영역없음,3,300,경영학부,경영학부,월,17:00:00,19:00:00,서울 경영관 B109강의실,3,,
AIX0002,AI+X:인공지능,AI+X:Artificial Intelligence,류호경,핵심교양,소프트웨어영역,0,100,서울 대학,창의융합교육팀,목,9:00:00,11:00:00,서울 제1공학관 201강의실,3,,
AIX0003,AI+X:딥러닝,AI+X:Deep Learning,원영준,핵심교양,소프트웨어영역,0,100,서울 대학,창의융합교육팀,화,13:00:00,15:00:00,서울 제1공학관 201강의실,3,,
